"Sample ID","dataset_uri","display_name","Dataset Summary"
"MBSMPL0020-6-1","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-10","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-100","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1000","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1001","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1002","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1003","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1004","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1005","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1006","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1007","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1008","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1009","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-101","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1010","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1011","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1012","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1013","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1014","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1015","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1016","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1017","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1018","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1019","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-102","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1020","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1021","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1022","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1023","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1024","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1025","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1026","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1027","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1028","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1029","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-103","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1030","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1031","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1032","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1033","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1034","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1035","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1036","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1037","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1038","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1039","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-104","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1040","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1041","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1042","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1043","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1044","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1045","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1046","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1047","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1048","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1049","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-105","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1050","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1051","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1052","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
"MBSMPL0020-6-1053","record/dataset/DS_b17cff2c2d","ECAM","Early life microbiome in context of antibiotic exposures, cesarean section, and formula feeding"
